Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,116.01597960002255,0.15186770004220307,0.006736501953610852,0.0634765625,16640
GANomaly,189.33672410005238,0.031529200030490756,0.0013985628118564034,0.12382888793945312,32461
LSTM,320.9713608000311,0.1657431999919936,0.007351987224627111,0.15454483032226562,40513
CNN,244.59472349996213,0.1564840999781154,0.006941274839341528,0.019229888916015625,5041
RF/XGB,12.269257300009485,0.24693600001046434,0.01095351313034352,9.791349411010742,0
Meta-Learner,1.9150160999852233,0.0575801000231877,0.002554120831404706,0.9956893920898438,0
CLAF++ + Symbolic,885.1634379000752,0.0013609000016003847,6.036639467709301e-05,11.14811897277832,94655
