Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.3393,0.83198,0.760403,0.758655,0.681704,0.042982,0.855188,0.681704
Generative branch,0.1613,0.840345,0.78822,0.775153,0.679788,0.027612,0.901643,0.679788
LSTM,0.8822,0.999623,0.999266,0.992679,0.989533,0.001537,0.995846,0.989533
CNN,0.5974,0.999874,0.999667,0.991511,0.990122,0.002635,0.992904,0.990122
RF/XGB,0.6063,0.999975,0.999911,0.996378,0.993513,0.000274,0.999259,0.993513
Ensemble (no meta),0.6152,0.99994,0.999842,0.993712,0.990122,0.000988,0.997327,0.990122
Meta-Learner (CLAF++),0.7932,0.999936,0.999844,0.995789,0.993661,0.000769,0.997927,0.993661
CLAF++ + Symbolic,0.7932,0.999936,0.999844,0.995789,0.993661,0.000769,0.997927,0.993661
