Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,39.45859429999837,0.11538010000367649,0.00461520400014706,0.024600982666015625,6449
GANomaly,60.071183899999596,0.017612399999052286,0.0007044959999620914,0.04637908935546875,12158
LSTM,76.83346250001341,0.11889539999538101,0.004755815999815241,0.07739639282226562,20289
CNN,55.23797769998782,0.08313780001481064,0.0033255120005924255,0.019229888916015625,5041
RF/XGB,6.385748700005934,0.21822929999325424,0.008729171999730171,1.530411720275879,0
Meta-Learner,0.5575587999774143,0.014018599991686642,0.0005607439996674657,0.00324249267578125,0
CLAF++ + Symbolic,238.57497359998524,0.00014170000213198364,5.6680000852793455e-06,1.7012605667114258,43937
