Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.88232,0.8551877196227113,0.681704260651629,0.7586546349466776,0.8319797925497429,0.7604025430079147,0.04298183015864303,0.681704260651629,0.3393
AE + LSTM,0.99532,0.9891400058702671,0.9936606221435943,0.9913951606972127,0.9966821189057555,0.9876711703976739,0.004062139759565242,0.9936606221435943,0.4194
AE + CNN,0.99456,0.9892536434564994,0.9907120743034056,0.9899823217442546,0.9973003719448157,0.9852547197014574,0.004007245979030576,0.9907120743034056,0.366
Ensemble (no meta),0.9966,0.9973269973269974,0.9901223647353679,0.9937116224014204,0.999939603083572,0.9998419983653534,0.0009880880496239777,0.9901223647353679,0.6152
Meta-Learner (CLAF++),0.99772,0.9979271542789458,0.9936606221435943,0.9957893181650291,0.9999357427956,0.9998438356986786,0.0007685129274853159,0.9936606221435943,0.7932
CLAF++ + Symbolic,0.99772,0.9979271542789458,0.9936606221435943,0.9957893181650291,0.9999357427956,0.9998438356986786,0.0007685129274853159,0.9936606221435943,0.7932
