Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8870652945351313,0.8918260074655291,0.9122574612327593,0.9019260400616332,0.9281493118874906,0.9261031470810952,0.1462259293584595,0.9122574612327593,0.22000000000000003
AE + LSTM,0.8915010645848119,0.9065998590777421,0.9023611002883192,0.9044755135515113,0.9611285234687438,0.9652012083733048,0.12285037586242406,0.9023611002883192,0.11800000000000001
AE + CNN,0.9026792051100071,0.903022956284567,0.928777370840801,0.9157191149354641,0.9403080395678546,0.9325275009821253,0.13180928843579445,0.928777370840801,0.11800000000000001
Ensemble (no meta),0.9229506742370476,0.9084216725559482,0.9615834177511104,0.9342468864746186,0.9612854790277642,0.9577326997922258,0.12810215219853774,0.9615834177511104,0.05
Meta-Learner (CLAF++),0.8327714691270405,0.9704142011834319,0.7284345047923323,0.83219086619781,0.9598191120884404,0.9633726086089728,0.02934816187828236,0.7284345047923323,0.05
CLAF++ + Symbolic,0.834013484740951,0.9704999482455232,0.7306163796462246,0.8336445274295368,0.9637076138443565,0.9684029048465252,0.02934816187828236,0.7306163796462246,0.05
