Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,118.00390970002627,0.17547760001616552,0.007783782825415433,0.0634765625,16640
GANomaly,193.20637440000428,0.03487219999078661,0.0015468506028560422,0.12382888793945312,32461
LSTM,324.4565383999725,0.21041860000696033,0.00933368523806602,0.15454483032226562,40513
CNN,245.28743220004253,0.16732860001502559,0.007422311924016394,0.019229888916015625,5041
RF/XGB,13.391953299986199,0.3212845000089146,0.014251441625661578,9.791349411010742,0
Meta-Learner,1.9270826000138186,0.08723230002215132,0.003869424238030133,0.9976425170898438,0
CLAF++ + Symbolic,896.3337906000088,0.0017648999928496778,7.82869052896415e-05,11.15007209777832,94655
