Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,155.73660160000145,0.17707910000171978,0.007854821682120289,0.0634765625,16640
GANomaly,261.67704239999875,0.038983999998890795,0.0017292405961182927,0.12382888793945312,32461
LSTM,462.5757891999965,0.21703339999658056,0.00962710255485187,0.15454483032226562,40513
CNN,306.3047854000033,0.20008480000251438,0.008875301632474911,0.019229888916015625,5041
RF/XGB,18.931461700005457,0.2896483999938937,0.012848136976308273,9.791254997253418,0
Meta-Learner,2.688270400001784,0.07596190000185743,0.0033694952094507377,1.0334701538085938,0
CLAF++ + Symbolic,1207.9828312000172,0.00017040000238921493,7.558552270635866e-06,11.185805320739746,94655
