Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,8.798300700029358,0.11441789998207241,0.005075314938878301,0.0634765625,16640
GANomaly,9.819151300005615,0.03180229995632544,0.0014106768965722783,0.12382888793945312,32461
LSTM,19.545327699976042,0.17964519996894524,0.00796864797591134,0.15454483032226562,40513
CNN,15.609519299992826,0.17166759999236092,0.007614779985466684,0.019229888916015625,5041
RF/XGB,7.123696899972856,0.11851530004059896,0.005257066183490018,5.72697639465332,0
Meta-Learner,0.019620199978817254,0.001311600033659488,5.8179561464668554e-05,0.00090789794921875,0
CLAF++ + Symbolic,62.260368999966886,5.1600043661892414e-05,2.288859282376349e-06,6.088964462280273,94655
