Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.9119499645138396,0.8948747815958067,0.9578430608587236,0.9252888704881629,0.9515773925353332,0.9564212310614987,0.14869735351663063,0.9578430608587236,0.2058
AE + LSTM,0.9168736692689851,0.9013991648963446,0.9588560741837451,0.9292402960277903,0.9572882237600177,0.9595933197442672,0.13860570487076512,0.9588560741837451,0.1079
AE + CNN,0.9237934705464869,0.8966526300763685,0.9789604924803241,0.9360005960363582,0.9535364442583125,0.9556067342286187,0.14910925754299248,0.9789604924803241,0.1079
Ensemble (no meta),0.9281405251951739,0.9071828019464013,0.973349957141744,0.939102323133599,0.961423621585347,0.9636747850113104,0.13160333642261354,0.973349957141744,0.0456
Meta-Learner (CLAF++),0.8244765791341376,0.9212224753227031,0.7563313332813839,0.830673113954384,0.9641207897243024,0.9673705746003901,0.08547008547008547,0.7563313332813839,0.01
CLAF++ + Symbolic,0.8244765791341376,0.9212224753227031,0.7563313332813839,0.830673113954384,0.9641207897243024,0.9673705746003901,0.08547008547008547,0.7563313332813839,0.01
