Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,40.810563500010176,0.11215859997901134,0.004486343999160454,0.02410888671875,6320
GANomaly,59.271571200020844,0.017280400003073737,0.0006912160001229494,0.045398712158203125,11901
LSTM,77.3560495999991,0.13718510000035167,0.005487404000014067,0.07641983032226562,20033
CNN,53.41589699999895,0.0822240999841597,0.0032889639993663876,0.019229888916015625,5041
RF/XGB,5.375121999997646,0.20545129998936318,0.008218051999574528,1.4844636917114258,0
Meta-Learner,0.5406348999822512,0.013834199984557927,0.0005533679993823171,0.00324249267578125,0
CLAF++ + Symbolic,236.7999673000013,0.00012550002429634333,5.020000971853733e-06,1.6528635025024414,43295
