Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,153.39246860001003,0.1340910000144504,0.005947968417958233,0.0634765625,16640
GANomaly,248.53023279999616,0.039419300010195,0.001748549503645981,0.12382888793945312,32461
LSTM,376.9788789000013,0.20709310000529513,0.009186173704990025,0.15454483032226562,40513
CNN,283.00003039999865,0.21032809998723678,0.009329670865296166,0.019229888916015625,5041
RF/XGB,16.602402599994093,0.2753372000006493,0.012213325053258043,9.465106010437012,0
Meta-Learner,0.6739932999771554,0.013603799976408482,0.0006034332849719873,0.00324249267578125,0
CLAF++ + Symbolic,1079.2180513999774,0.00014439999358728528,6.405251667285543e-06,9.829428672790527,94655
