Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8719836763662172,0.8897421832144816,0.8847502532533312,0.8872391966867235,0.9433938251773296,0.9553027258116275,0.14488724127278343,0.8847502532533312,0.2681
AE + LSTM,0.8989975159687722,0.8973200843119542,0.9288552949427258,0.9128154075889268,0.9606324444007601,0.9666443535975958,0.14045927298939348,0.9288552949427258,0.14350000000000002
AE + CNN,0.9074254790631654,0.8951897616946161,0.9484142445258318,0.9210337129668168,0.9575001177768516,0.9629383257365866,0.1467408093914118,0.9484142445258318,0.14350000000000002
Ensemble (no meta),0.9284953867991483,0.9140896007085394,0.965090002337723,0.9388977333030096,0.9653494203473126,0.9688249690661564,0.11986407167130059,0.965090002337723,0.0545
Meta-Learner (CLAF++),0.8476756564939674,0.9428894543398361,0.7796306397568769,0.853523289541034,0.9631215300714775,0.9604939147134547,0.062403459993821436,0.7796306397568769,0.01
CLAF++ + Symbolic,0.8476756564939674,0.9428894543398361,0.7796306397568769,0.853523289541034,0.9631215300714775,0.9604939147134547,0.062403459993821436,0.7796306397568769,0.01
