Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.22,0.928149,0.926103,0.901926,0.912257,0.146226,0.891826,0.912257
Generative branch,0.118,0.929713,0.917876,0.8966,0.889893,0.125734,0.90341,0.889893
LSTM,0.01,0.901453,0.925607,0.812397,0.709811,0.049737,0.949646,0.709811
CNN,0.01,0.91324,0.925643,0.855657,0.814385,0.117805,0.901337,0.814385
RF/XGB,0.2,0.967409,0.97078,0.830315,0.726954,0.03182,0.967939,0.726954
Ensemble (no meta),0.05,0.960432,0.956699,0.935581,0.964233,0.128205,0.908584,0.964233
Meta-Learner (CLAF++),0.115,0.962431,0.96361,0.822514,0.716278,0.03357,0.965749,0.716278
CLAF++ + Symbolic,0.118,0.962431,0.96361,0.822428,0.715499,0.032334,0.966933,0.715499
