Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,174.35972949999268,0.1285275999980513,0.005701188786286874,0.0634765625,16640
GANomaly,300.03544159999,0.03595610000775196,0.001594929915177074,0.12382888793945312,32461
LSTM,480.4090913000109,0.1960343999962788,0.00869563520210605,0.15454483032226562,40513
CNN,322.0668207000126,0.19058470000163652,0.008453899041946262,0.019229888916015625,5041
RF/XGB,20.65350220000255,0.2868109999981243,0.012722276437106295,9.791254997253418,0
Meta-Learner,0.7489666999899782,0.012470799993025139,0.0005531760110461826,0.00324249267578125,0
CLAF++ + Symbolic,1298.3112799999944,0.00012650000280700624,5.6112492373583326e-06,10.155577659606934,94655
