Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,153.79125230002683,0.42309250007383525,0.018767410400720157,0.0634765625,16640
GANomaly,611.7226038000081,0.09946249995846301,0.004411927783821106,0.12382888793945312,32461
LSTM,1058.993503100006,0.5825661000562832,0.025841292585889068,0.15454483032226562,40513
CNN,807.3163689000066,0.29985269997268915,0.013300776258547248,0.019229888916015625,5041
RF/XGB,46.34531730005983,0.8316581000108272,0.03689044091602321,9.791349411010742,0
Meta-Learner,3.9200490000657737,0.21214570000302047,0.00941029542241929,1.0188827514648438,0
CLAF++ + Symbolic,2682.2933504001703,0.003860799944959581,0.00017125620763660312,11.17131233215332,94655
