Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,162.0510132999916,0.13179460001992993,0.005846105394780426,0.0634765625,16640
GANomaly,284.575258900004,0.040190900006564334,0.0017827759051882689,0.12382888793945312,32461
LSTM,490.081228999974,0.22210030001588166,0.00985185858835529,0.15454483032226562,40513
CNN,311.47517429999425,0.1905358000076376,0.008451729950658161,0.019229888916015625,5041
RF/XGB,18.39519760000985,0.296723400009796,0.013161967708028568,9.620850563049316,0
Meta-Learner,0.9790812999999616,0.013127600017469376,0.000582310149816775,0.00324249267578125,0
CLAF++ + Symbolic,1267.5973702999472,0.00014009998994879425,6.2145133937541805e-06,9.985173225402832,94655
