Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8588,0.8542801132650839,0.5782102314610055,0.6896430455424652,0.8386560837155159,0.7427992247370815,0.036723939177691164,0.5782102314610055,0.35710000000000003
AE + LSTM,0.99512,0.990717548254015,0.9913017838714433,0.9910095799557849,0.9968395895207699,0.9797768340252636,0.0034583081736839216,0.9913017838714433,0.4906
AE + CNN,0.99448,0.984541344611346,0.9952823234556981,0.9898826979472141,0.9966432853798973,0.9791941367139454,0.005818740736674535,0.9952823234556981,0.4995
Ensemble (no meta),0.99684,0.997624703087886,0.9907120743034056,0.9941563725127598,0.9998760904210872,0.9997264077556482,0.0008783004885546468,0.9907120743034056,0.6686
Meta-Learner (CLAF++),0.99732,0.9983674680914217,0.9917440660474717,0.995044745211153,0.9999319634360968,0.9998540324863058,0.0006038315858813197,0.9917440660474717,0.8911
CLAF++ + Symbolic,0.99732,0.9983674680914217,0.9917440660474717,0.995044745211153,0.9999319634360968,0.9998540324863058,0.0006038315858813197,0.9917440660474717,0.8911
