Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8666163946061036,0.8682356468295608,0.9026727966960181,0.885119388729704,0.897155355422774,0.8862650725356653,0.18103181958603645,0.9026727966960181,0.24
AE + LSTM,0.8898154719659332,0.8987439315712414,0.9088288007480714,0.9037582332429291,0.92772759813869,0.9175574926233561,0.13531047265987026,0.9088288007480714,0.18
AE + CNN,0.8680358410220014,0.8664684014869889,0.9081274838307488,0.8868089639691055,0.9145345806678271,0.9091668597341986,0.1849449078364741,0.9081274838307488,0.13
Ensemble (no meta),0.9199787083037615,0.8940335834226509,0.9749863632821631,0.9327568212315491,0.9581836528169355,0.9622747763774269,0.15271341777365874,0.9749863632821631,0.49
Meta-Learner (CLAF++),0.8335699077359829,0.9224899972085233,0.7725395464817268,0.8408821034775233,0.9602721647910117,0.9655076465232317,0.08577901348985686,0.7725395464817268,0.01
CLAF++ + Symbolic,0.8335699077359829,0.9224899972085233,0.7725395464817268,0.8408821034775233,0.9602721647910117,0.9655076465232317,0.08577901348985686,0.7725395464817268,0.01
