Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.24,0.897155,0.886265,0.885119,0.902673,0.181032,0.868236,0.902673
Generative branch,0.48,0.95342,0.962809,0.919332,0.946232,0.148388,0.893919,0.946232
LSTM,0.01,0.9191,0.934458,0.848157,0.793267,0.102152,0.911207,0.793267
CNN,0.04,0.881907,0.916964,0.83827,0.828177,0.195243,0.848611,0.828177
RF/XGB,0.01,0.964315,0.968815,0.92909,0.981688,0.173823,0.881842,0.981688
Ensemble (no meta),0.49,0.958184,0.962275,0.932757,0.974986,0.152713,0.894034,0.974986
Meta-Learner (CLAF++),0.01,0.960272,0.965508,0.840882,0.77254,0.085779,0.92249,0.77254
CLAF++ + Symbolic,0.01,0.960272,0.965508,0.840882,0.77254,0.085779,0.92249,0.77254
