Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8862,0.8830739299610895,0.6691729323308271,0.7613855573261763,0.8710592802573195,0.7809710022890989,0.03299116210133392,0.6691729323308271,0.25029999999999997
AE + LSTM,0.9936,0.9823743627093955,0.994250331711632,0.9882766705744431,0.9970713888881537,0.9830767123106683,0.006642147444694516,0.994250331711632,0.5084
AE + CNN,0.9948,0.989407091363837,0.9914492112634528,0.9904270986745214,0.9971504398166902,0.9798182739905327,0.003952352198495911,0.9914492112634528,0.4283
Ensemble (no meta),0.99644,0.9961458642158316,0.9907120743034056,0.9934215389164018,0.9998662576121015,0.9996385979914291,0.001427238293901301,0.9907120743034056,0.6063
Meta-Learner (CLAF++),0.99668,0.9958555358200119,0.991891493439481,0.9938695620060566,0.9997210800315308,0.999589821632262,0.0015370258549706319,0.991891493439481,0.5618
CLAF++ + Symbolic,0.99668,0.9958555358200119,0.991891493439481,0.9938695620060566,0.9997210800315308,0.999589821632262,0.0015370258549706319,0.991891493439481,0.5618
