Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,55.73941760000889,0.13867780001601204,0.0055471120006404815,0.02410888671875,6320
GANomaly,81.1157208000077,0.021257600019453093,0.0008503040007781237,0.045398712158203125,11901
LSTM,112.34496099999524,0.20007240000995807,0.008002896000398323,0.07641983032226562,20033
CNN,74.09356490001664,0.1328878999920562,0.005315515999682247,0.019229888916015625,5041
RF/XGB,7.7493404999841005,0.29925909999292344,0.011970363999716939,1.4844636917114258,0
Meta-Learner,0.6831817000056617,0.017024400003720075,0.0006809760001488031,0.00324249267578125,0
CLAF++ + Symbolic,331.7618386000104,0.0001441999920643866,5.767999682575464e-06,1.6528635025024414,43295
