Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.3838,0.836812,0.707404,0.63546,0.504349,0.030905,0.858685,0.504349
Generative branch,0.1613,0.855734,0.747348,0.651171,0.526611,0.033815,0.852913,0.526611
LSTM,0.6686,0.999587,0.999144,0.990339,0.989828,0.003403,0.99085,0.989828
CNN,0.6597,0.999878,0.999683,0.993116,0.988943,0.000988,0.997324,0.988943
RF/XGB,0.6241,0.999964,0.999884,0.995858,0.992481,0.000274,0.999258,0.992481
Ensemble (no meta),0.6419,0.999925,0.999807,0.993479,0.988206,0.000439,0.998808,0.988206
Meta-Learner (CLAF++),0.7131,0.99993,0.99983,0.995127,0.993513,0.001208,0.996746,0.993513
CLAF++ + Symbolic,0.7131,0.99993,0.99983,0.995127,0.993513,0.001208,0.996746,0.993513
