Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,113.95003280002857,0.1540849999873899,0.006834856280491035,0.0634765625,16640
GANomaly,188.3801241000183,0.031034399988129735,0.0013766146197715461,0.12382888793945312,32461
LSTM,322.10785639996175,0.1731028000358492,0.00767844215914874,0.15454483032226562,40513
CNN,241.4960125000216,0.15343710000161082,0.006806116926969962,0.019229888916015625,5041
RF/XGB,19.315291900013108,0.24119979998795316,0.010699068487755196,9.791349411010742,0
Meta-Learner,1.9570922999992035,0.059873599966522306,0.002655855214980585,1.0188827514648438,0
CLAF++ + Symbolic,887.271729900036,0.0014043000410310924,6.229152062770992e-05,11.17131233215332,94655
