Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,35.30369190001511,0.14477119999355637,0.005790847999742255,0.026569366455078125,6965
GANomaly,74.9912297000119,0.02259429998230189,0.0009037719992920756,0.05030059814453125,13186
LSTM,128.10333250000258,0.16993179998826236,0.006797271999530494,0.08130264282226562,21313
CNN,76.70143729998381,0.13345329998992383,0.005338131999596953,0.019229888916015625,5041
RF/XGB,5.567250199994305,0.13308870000764728,0.005323548000305891,0.3061037063598633,0
Meta-Learner,0.8597093999851495,0.01685179999913089,0.0006740719999652356,0.00324249267578125,0
CLAF++ + Symbolic,321.56745239999145,0.00016269998741336167,6.507999496534467e-06,0.48674869537353516,46505
