Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8816,0.8536540240518039,0.6802299867315347,0.7571381686905153,0.8952356851882878,0.8161937599768165,0.04342098040292035,0.6802299867315347,0.2859
AE + LSTM,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4639
AE + CNN,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,1.0,0.43720000000000003
Ensemble (no meta),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2592
Meta-Learner (CLAF++),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0367
CLAF++ + Symbolic,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0367
