Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.2859,0.895236,0.816194,0.757138,0.68023,0.043421,0.853654,0.68023
Generative branch,0.1524,0.952985,0.900296,0.83652,0.744951,0.013449,0.953756,0.744951
LSTM,0.455,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CNN,0.01,1.0,1.0,1.0,1.0,0.0,1.0,1.0
RF/XGB,0.0189,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Ensemble (no meta),0.2592,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Meta-Learner (CLAF++),0.0367,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CLAF++ + Symbolic,0.0367,1.0,1.0,1.0,1.0,0.0,1.0,1.0
