Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,163.4860138000222,0.22428069997113198,0.009948576116533533,0.0634765625,16640
GANomaly,243.92112019995693,0.05975350004155189,0.002650527858479058,0.12382888793945312,32461
LSTM,449.9692691999953,0.25914810004178435,0.011495213805969852,0.15454483032226562,40513
CNN,337.16641319997143,0.2221307000145316,0.009853207062390509,0.019229888916015625,5041
RF/XGB,17.31473789998563,0.35334699996747077,0.015673660396002074,9.791349411010742,0
Meta-Learner,1.8896269999677315,0.06905130000086501,0.003062956884353487,1.0188827514648438,0
CLAF++ + Symbolic,1213.8188163999002,0.0014786000247113407,6.558729705071596e-05,11.17131233215332,94655
