Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.22,0.928149,0.926103,0.901926,0.912257,0.146226,0.891826,0.912257
Generative branch,0.49,0.932279,0.918571,0.907963,0.918258,0.137988,0.897897,0.918258
LSTM,0.01,0.905517,0.927971,0.823388,0.721499,0.040984,0.958786,0.721499
CNN,0.01,0.917253,0.930921,0.857879,0.817034,0.115951,0.903023,0.817034
RF/XGB,0.01,0.967432,0.970802,0.943296,0.97935,0.128308,0.909802,0.97935
Ensemble (no meta),0.5,0.960073,0.956127,0.926992,0.939453,0.115539,0.914858,0.939453
Meta-Learner (CLAF++),0.01,0.959948,0.955765,0.835587,0.734435,0.030996,0.969052,0.734435
CLAF++ + Symbolic,0.01,0.965035,0.963195,0.88097,0.812047,0.041602,0.962679,0.812047
