Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.9013041163946061,0.8953488372093024,0.9360243123198005,0.9152348660901367,0.9570194413773515,0.9628852274898951,0.14457831325301204,0.9360243123198005,0.2147
AE + LSTM,0.9135468417317246,0.9091729323308271,0.9422582404737785,0.9254199670914169,0.9651517734979143,0.9686497457717257,0.12439501596128102,0.9422582404737785,0.1168
AE + CNN,0.9140791341376863,0.9065671641791044,0.9466219901815631,0.9261617047230587,0.9615816203050356,0.9662042776434123,0.12892596025126146,0.9466219901815631,0.1168
Ensemble (no meta),0.9303584102200142,0.9072239496709813,0.9776357827476039,0.9411146950716376,0.9651925650922026,0.966539875955513,0.13211821645556585,0.9776357827476039,0.0456
Meta-Learner (CLAF++),0.8309971611071683,0.9300352683252312,0.7603054624795449,0.8366489452924026,0.9648019495677876,0.9676902914610583,0.07558438883740089,0.7603054624795449,0.01
CLAF++ + Symbolic,0.8309971611071683,0.9300352683252312,0.7603054624795449,0.8366489452924026,0.9648019495677876,0.9676902914610583,0.07558438883740089,0.7603054624795449,0.01
