Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.86372,0.8964302489431658,0.5627303553000147,0.6914228783624672,0.8311425753984851,0.7493596954105517,0.02420815721578745,0.5627303553000147,0.3749
AE + LSTM,0.9946,0.9886798000588062,0.9914492112634528,0.9900625690099374,0.9972383807375483,0.9890968082895596,0.0042268211011692374,0.9914492112634528,0.4016
AE + CNN,0.99492,0.9899882214369847,0.9913017838714433,0.9906445672191528,0.9969097180855971,0.9823821090827156,0.0037327770763572487,0.9913017838714433,0.4461
Ensemble (no meta),0.99604,0.993502658003544,0.991891493439481,0.9926964219845076,0.9998680137598792,0.999703325713891,0.0024153263435252787,0.991891493439481,0.5351
Meta-Learner (CLAF++),0.99756,0.999405646359584,0.9915966386554622,0.9954858284614815,0.9998976983223148,0.9997878995726315,0.0002195751221386617,0.9915966386554622,0.8288
CLAF++ + Symbolic,0.99708,0.9971843509187908,0.9920389208314905,0.9946049811543862,0.9991548882765896,0.9988021511629185,0.0010429818301586431,0.9920389208314905,0.9
