Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,165.83996010001283,0.16861139997490682,0.007479213980434121,0.06298446655273438,16511
GANomaly,242.61434909998206,0.04398430002038367,0.0019510424068658475,0.1228485107421875,32204
LSTM,394.8571980999841,0.23794510000152513,0.010554697480550265,0.15356826782226562,40257
CNN,300.1638761999784,0.2019463999895379,0.008957877927144158,0.019229888916015625,5041
RF/XGB,18.498873299977276,0.295509099989431,0.01310810415141195,9.692402839660645,0
Meta-Learner,0.7351762000180315,0.013848800008418038,0.0006143009230135751,0.00324249267578125,0
CLAF++ + Symbolic,1122.7489021999645,0.000212200015084818,9.412704714550125e-06,10.054276466369629,94013
