Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8814762242725337,0.8893401793240862,0.9043092028364373,0.8967622285758442,0.9405204952865869,0.9488159872570028,0.14869735351663063,0.9043092028364373,0.2147
AE + LSTM,0.8829400283889283,0.8917755572636433,0.9040754305306631,0.8978833726734512,0.9564643755857296,0.9625457295226945,0.14499021727937392,0.9040754305306631,0.1168
AE + CNN,0.8769960965223563,0.8957513768686074,0.8871659004129977,0.8914379673491759,0.9472148103650659,0.9519897915438408,0.13644320873236535,0.8871659004129977,0.1257
Ensemble (no meta),0.8950940383250532,0.9042947628611154,0.9122574612327593,0.9082586601497343,0.9588501723016561,0.9642273235631107,0.1275872721655854,0.9122574612327593,0.0545
Meta-Learner (CLAF++),0.8393364088005678,0.920171517197336,0.7859424920127795,0.8477767504412878,0.9613793514514454,0.9638879234742218,0.09010400576665636,0.7859424920127795,0.01
CLAF++ + Symbolic,0.8393364088005678,0.920171517197336,0.7859424920127795,0.8477767504412878,0.9613793514514454,0.9638879234742218,0.09010400576665636,0.7859424920127795,0.01
