Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.22,0.928149,0.926103,0.901926,0.912257,0.146226,0.891826,0.912257
Generative branch,0.118,0.929713,0.917876,0.8966,0.889893,0.125734,0.90341,0.889893
LSTM,0.05,0.905517,0.927971,0.818137,0.712148,0.037998,0.961191,0.712148
CNN,0.05,0.917253,0.930921,0.830674,0.760539,0.093296,0.915057,0.760539
RF/XGB,0.2,0.967432,0.970802,0.830247,0.726798,0.031717,0.968033,0.726798
Ensemble (no meta),0.05,0.961285,0.957733,0.934247,0.961583,0.128102,0.908422,0.961583
Meta-Learner (CLAF++),0.368367,0.959452,0.96257,0.818297,0.707473,0.028627,0.97029,0.707473
CLAF++ + Symbolic,0.05,0.963525,0.967843,0.835861,0.734513,0.030378,0.969653,0.734513
