Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8870652945351313,0.8918260074655291,0.9122574612327593,0.9019260400616332,0.9281493118874906,0.9261031470810952,0.1462259293584595,0.9122574612327593,0.22000000000000003
AE + LSTM,0.8915010645848119,0.9065998590777421,0.9023611002883192,0.9044755135515113,0.9611285234687438,0.9652012083733048,0.12285037586242406,0.9023611002883192,0.11800000000000001
AE + CNN,0.9026792051100071,0.903022956284567,0.928777370840801,0.9157191149354641,0.9403080395678546,0.9325275009821253,0.13180928843579445,0.928777370840801,0.11800000000000001
Ensemble (no meta),0.9229506742370476,0.9084216725559482,0.9615834177511104,0.9342468864746186,0.9612854790277642,0.9577326997922258,0.12810215219853774,0.9615834177511104,0.05
Meta-Learner (CLAF++),0.834013484740951,0.9698191214470284,0.7311618483596977,0.8337480007108584,0.9594520198370963,0.9625696481621147,0.030068993924415612,0.7311618483596977,0.05
CLAF++ + Symbolic,0.8357877927608233,0.9696533278469294,0.7345125847424608,0.8358606012237297,0.963525401760693,0.9678434976490344,0.030377921944187005,0.7345125847424608,0.05
