Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,47.51103660001536,0.11447259999113157,0.004578903999645263,0.02410888671875,6320
GANomaly,62.141436800011434,0.017513300001155585,0.0007005320000462234,0.045398712158203125,11901
LSTM,77.55549430000247,0.11783939998713322,0.004713575999485329,0.07641983032226562,20033
CNN,52.70817779999925,0.0799092999950517,0.003196371999802068,0.019229888916015625,5041
RF/XGB,6.7845811000152025,0.19800279999617487,0.007920111999846996,1.3815641403198242,0
Meta-Learner,0.5339759000053164,0.012935399980051443,0.0005174159992020577,0.00324249267578125,0
CLAF++ + Symbolic,247.2653363000718,0.00013520001084543765,5.408000433817505e-06,1.5499639511108398,43295
