Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.22,0.928149,0.926103,0.901926,0.912257,0.146226,0.891826,0.912257
Generative branch,0.49,0.932279,0.918571,0.907963,0.918258,0.137988,0.897897,0.918258
LSTM,0.01,0.901453,0.925607,0.812397,0.709811,0.049737,0.949646,0.709811
CNN,0.01,0.91324,0.925643,0.855657,0.814385,0.117805,0.901337,0.814385
RF/XGB,0.01,0.967409,0.97078,0.943212,0.979116,0.128205,0.909848,0.979116
Ensemble (no meta),0.5,0.959101,0.954869,0.926946,0.937817,0.113171,0.916324,0.937817
Meta-Learner (CLAF++),0.01,0.959233,0.958101,0.838479,0.739656,0.03254,0.967781,0.739656
CLAF++ + Symbolic,0.01,0.964376,0.964936,0.884173,0.818203,0.043044,0.961715,0.818203
