Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,183.47277069999836,0.16646729997592047,0.007384106634843881,0.0634765625,16640
GANomaly,235.14515540003777,0.03760330000659451,0.0016679959193840715,0.12382888793945312,32461
LSTM,357.34417320002103,0.20470250002108514,0.009080132186882769,0.15454483032226562,40513
CNN,264.92530269996496,0.17007789999479428,0.007544264549094849,0.019229888916015625,5041
RF/XGB,15.479588099988177,0.25393259996781126,0.011263866215747483,9.791254997253418,0
Meta-Learner,1.6645520000020042,0.0713473999639973,0.0031648065988288373,0.9979476928710938,0
CLAF++ + Symbolic,1058.1014508000226,0.0018492000526748598,8.202626209522976e-05,11.150282859802246,94655
