Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8870652945351313,0.8918260074655291,0.9122574612327593,0.9019260400616332,0.9281493118874906,0.9261031470810952,0.1462259293584595,0.9122574612327593,0.22
AE + LSTM,0.8875975869410929,0.9079458131981304,0.8930881321592768,0.9004556882463859,0.9587554051670942,0.9622964999479,0.11965811965811966,0.8930881321592768,0.12
AE + CNN,0.899485450674237,0.9033514008702954,0.9220758980752747,0.9126176153015579,0.939677765904202,0.9318926736090554,0.13036762434352797,0.9220758980752747,0.12
Ensemble (no meta),0.9158534421575586,0.916324044464748,0.9378165666640692,0.9269457388223514,0.9591008919561343,0.9548686525025526,0.1131706312429204,0.9378165666640692,0.5
Meta-Learner (CLAF++),0.8377838892831796,0.9677814029363785,0.7396555754694927,0.8384788657744799,0.9592332088626,0.9581005941385763,0.03254041808258676,0.7396555754694927,0.01
CLAF++ + Symbolic,0.877971965933286,0.9617145997435428,0.8182030702096158,0.8841732979664014,0.9643758505320236,0.9649358571404174,0.04304397075481413,0.8182030702096158,0.01
