Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.3571,0.838656,0.742799,0.689643,0.57821,0.036724,0.85428,0.57821
Generative branch,0.1613,0.859222,0.787477,0.736787,0.626861,0.027831,0.893465,0.626861
LSTM,0.8466,0.999631,0.999241,0.992388,0.989828,0.001866,0.994961,0.989828
CNN,0.7042,0.999923,0.999788,0.99416,0.991302,0.001098,0.997034,0.991302
RF/XGB,0.6152,0.99997,0.999892,0.995712,0.992776,0.000494,0.998665,0.992776
Ensemble (no meta),0.6686,0.999876,0.999726,0.994156,0.990712,0.000878,0.997625,0.990712
Meta-Learner (CLAF++),0.8911,0.999932,0.999854,0.995045,0.991744,0.000604,0.998367,0.991744
CLAF++ + Symbolic,0.8911,0.999932,0.999854,0.995045,0.991744,0.000604,0.998367,0.991744
