Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,135.33991590002552,0.19090039998991415,0.008467902767473126,0.0634765625,16640
GANomaly,255.813801399956,0.0527140999911353,0.002338276259365476,0.12382888793945312,32461
LSTM,439.97856229997706,0.37946339999325573,0.016832123846400628,0.15454483032226562,40513
CNN,395.6192711000331,0.2830431000329554,0.012555141058949405,0.019229888916015625,5041
RF/XGB,18.01830199995311,0.3369575999677181,0.014946664299490691,9.791254997253418,0
Meta-Learner,0.41537539998535067,0.013862500025425106,0.0006149086242647758,0.21845436096191406,0
CLAF++ + Symbolic,1245.308326999948,0.0015713999746367335,6.970368943562515e-05,10.370789527893066,94655
