Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8870652945351313,0.8918260074655291,0.9122574612327593,0.9019260400616332,0.9281493118874906,0.9261031470810952,0.1462259293584595,0.9122574612327593,0.22
AE + LSTM,0.9174503193754435,0.8891332103844517,0.9767786176264318,0.9308974787419703,0.9587554051670942,0.9622964999479,0.1609514983008959,0.9767786176264318,0.1
AE + CNN,0.899485450674237,0.9033514008702954,0.9220758980752747,0.9126176153015579,0.939677765904202,0.9318926736090554,0.13036762434352797,0.9220758980752747,0.12
Ensemble (no meta),0.9158534421575586,0.916324044464748,0.9378165666640692,0.9269457388223514,0.9591008919561343,0.9548686525025526,0.1131706312429204,0.9378165666640692,0.5
Meta-Learner (CLAF++),0.8497161107168204,0.9206377482853835,0.8054235174939609,0.859185369908562,0.9577166859559111,0.9563444037714679,0.0917516218721038,0.8054235174939609,0.01
CLAF++ + Symbolic,0.8722941802696949,0.9176036247692566,0.8521779786487961,0.8836814674154579,0.9597881623138421,0.9614263742208776,0.10112243847183607,0.8521779786487961,0.01
