Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,147.80953770002816,0.18129570002201945,0.008041860362935568,0.0634765625,16640
GANomaly,221.35409890004667,0.04341110005043447,0.0019256165742740626,0.12382888793945312,32461
LSTM,369.16969670000253,0.26582109997980297,0.01179121273863569,0.15454483032226562,40513
CNN,285.0239068000228,0.24125999998068437,0.010701738821002678,0.019229888916015625,5041
RF/XGB,12.742646700004116,0.2640520000131801,0.01171273953216732,9.791349411010742,0
Meta-Learner,1.5379421000252478,0.061943499953486025,0.002747671218660665,1.0188827514648438,0
CLAF++ + Symbolic,1037.6971907000989,0.001434599980711937,6.363555627714412e-05,11.17131233215332,94655
