Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,8.734368600009475,0.1293609999702312,0.005738156492646877,0.0634765625,16640
GANomaly,9.665297399973497,0.03554949996760115,0.0015768940723740752,0.12382888793945312,32461
LSTM,19.390085299964994,0.18156540003838018,0.00805382363548528,0.15454483032226562,40513
CNN,15.064540299994405,0.16217710002092645,0.007193803230168845,0.019229888916015625,5041
RF/XGB,7.872719799983315,0.12163670000154525,0.0053955243080884155,5.72697639465332,0
Meta-Learner,0.021860599983483553,0.0019164999830536544,8.501153225042825e-05,0.00101470947265625,0
CLAF++ + Symbolic,60.830064499925356,0.0011655999696813524,5.170333435421187e-05,6.089071273803711,94655
