Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,115.97193679999327,0.1544508999795653,0.0068510867627557355,0.0634765625,16640
GANomaly,192.14462169999024,0.031101499975193292,0.001379591020901051,0.12382888793945312,32461
LSTM,325.4769012000179,0.1701488000107929,0.007547409510769735,0.15454483032226562,40513
CNN,243.6932432000176,0.15885289997095242,0.007046349359960629,0.019229888916015625,5041
RF/XGB,18.17857330001425,0.24951659998623654,0.011067982611170889,9.791349411010742,0
Meta-Learner,1.5277340000029653,0.05963159998646006,0.0026451206523447506,1.0188827514648438,0
CLAF++ + Symbolic,897.0525979000377,0.0014670999953523278,6.507718219270439e-05,11.17131233215332,94655
