Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.3215,0.87594,0.806127,0.785555,0.700722,0.031015,0.893757,0.700722
Generative branch,0.1613,0.95306,0.912821,0.843091,0.763232,0.017621,0.941615,0.763232
LSTM,0.0812,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CNN,0.01,1.0,1.0,1.0,1.0,0.0,1.0,1.0
RF/XGB,0.0367,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Ensemble (no meta),0.1969,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Meta-Learner (CLAF++),0.0634,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CLAF++ + Symbolic,0.0634,1.0,1.0,1.0,1.0,0.0,1.0,1.0
