Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8962,0.893757051523129,0.7007223942208463,0.7855549128171225,0.8759396432564641,0.8061269257894659,0.031014986002085965,0.7007223942208463,0.3215
AE + LSTM,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0,1.0,0.5084
AE + CNN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5084
Ensemble (no meta),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.19690000000000002
Meta-Learner (CLAF++),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0634
CLAF++ + Symbolic,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0634
