Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall
AE only,0.2147,0.928149,0.926103,0.910603,0.929868,0.148594,0.89212,0.929868
Generative branch,0.1168,0.929713,0.917876,0.898156,0.893712,0.127381,0.902644,0.893712
LSTM,0.01,0.901453,0.925607,0.812397,0.709811,0.049737,0.949646,0.709811
CNN,0.01,0.91324,0.925643,0.855657,0.814385,0.117805,0.901337,0.814385
RF/XGB,0.01,0.967409,0.97078,0.943212,0.979116,0.128205,0.909848,0.979116
Ensemble (no meta),0.0456,0.960432,0.956699,0.939188,0.978415,0.138915,0.902985,0.978415
Meta-Learner (CLAF++),0.01,0.962431,0.96361,0.841855,0.77363,0.084955,0.923277,0.77363
CLAF++ + Symbolic,0.01,0.962431,0.96361,0.841855,0.77363,0.084955,0.923277,0.77363
