Model,Accuracy,Precision,Recall,F1,AUROC,AUPRC,FalseAlarmRate,DetectionRate,Threshold
AE only,0.8960699077359829,0.8921202153110048,0.9298683082677472,0.9106032278988134,0.9281493118874906,0.9261031470810952,0.14859437751004015,0.9298683082677472,0.2147
AE + LSTM,0.8911018452803406,0.9048213449836168,0.9037637341229642,0.9042922303224046,0.9587554051670942,0.9622964999479,0.1256307280403666,0.9037637341229642,0.1168
AE + CNN,0.9045865862313698,0.900975975975976,0.9351671471986286,0.9177532214277521,0.939677765904202,0.9318926736090554,0.13582535269282256,0.9351671471986286,0.1168
Ensemble (no meta),0.927874378992193,0.9029845379359942,0.9784150237668511,0.9391876729747924,0.9604323140265397,0.956698835299234,0.13891463289053652,0.9784150237668511,0.0456
Meta-Learner (CLAF++),0.8345457771469127,0.9232772249604762,0.773630483908673,0.8418553379123209,0.9624309175874746,0.9636102770331638,0.08495520543713314,0.773630483908673,0.01
CLAF++ + Symbolic,0.8345457771469127,0.9232772249604762,0.773630483908673,0.8418553379123209,0.9624309175874746,0.9636102770331638,0.08495520543713314,0.773630483908673,0.01
