Model,TrainSeconds,InferenceSeconds,InferenceMsPerSample,ModelSizeMB,ParameterCount
Autoencoder,141.28286800003843,0.21562060003634542,0.00956443399735386,0.0634765625,16640
GANomaly,253.3705715999822,0.04673739999998361,0.0020731635911987053,0.12382888793945312,32461
LSTM,446.4968743000063,0.29488499998115003,0.01308042051016457,0.15454483032226562,40513
CNN,354.80251459998544,0.26369930000510067,0.011697094570843712,0.019229888916015625,5041
RF/XGB,19.368918399966788,0.3549095999915153,0.015742973739864944,9.791349411010742,0
Meta-Learner,2.068833099969197,0.07595109997782856,0.003369016145219507,1.0188827514648438,0
CLAF++ + Symbolic,1217.4788981999154,0.0014319000183604658,6.35157921558049e-05,11.17131233215332,94655
